GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
resto-os-backend,com.resto.catalog.controller,StoreCatalogController.StoreOverrideRequest,31,0,0,0,9,0,9,0,9,0
resto-os-backend,com.resto.catalog.controller,CatalogController.AddModifierOptionRequest,38,0,0,0,11,0,11,0,11,0
resto-os-backend,com.resto.catalog.controller,Stock86Controller,69,0,2,0,19,0,4,0,3,0
resto-os-backend,com.resto.catalog.controller,Stock86Controller.Toggle86Request,26,0,0,0,9,0,6,0,6,0
resto-os-backend,com.resto.catalog.controller,CatalogController.CreateProductRequest,52,0,0,0,15,0,15,0,15,0
resto-os-backend,com.resto.catalog.controller,CatalogController,156,0,0,0,68,0,7,0,7,0
resto-os-backend,com.resto.catalog.controller,StoreCatalogController,53,0,0,0,23,0,3,0,3,0
resto-os-backend,com.resto.catalog.controller,CatalogController.CreateModifierGroupRequest,38,0,0,0,11,0,11,0,11,0
resto-os-backend,com.resto.catalog.controller,CatalogController.CreateCategoryRequest,24,0,0,0,7,0,7,0,7,0
resto-os-backend,com.resto.audit.domain,AuditLog,71,0,0,0,21,0,20,0,20,0
resto-os-backend,com.resto.audit.domain,AuditLog.AuditLogBuilder,87,0,0,0,20,0,10,0,10,0
resto-os-backend,com.resto.catalog.domain,Product.ProductBuilder,136,0,6,0,26,0,16,0,13,0
resto-os-backend,com.resto.catalog.domain,Product,99,0,0,0,30,0,27,0,27,0
resto-os-backend,com.resto.catalog.domain,ModifierGroup.ModifierGroupBuilder,90,0,6,0,16,0,11,0,8,0
resto-os-backend,com.resto.catalog.domain,StoreProduct.StoreProductBuilder,85,0,2,0,18,0,10,0,9,0
resto-os-backend,com.resto.catalog.domain,ModifierOption,57,0,0,0,17,0,16,0,16,0
resto-os-backend,com.resto.catalog.domain,ModifierGroup,57,0,0,0,17,0,16,0,16,0
resto-os-backend,com.resto.catalog.domain,ModifierOption.ModifierOptionBuilder,81,0,4,0,16,0,10,0,8,0
resto-os-backend,com.resto.catalog.domain,Category.CategoryBuilder,83,0,4,0,16,0,10,0,8,0
resto-os-backend,com.resto.catalog.domain,Category,64,0,0,0,20,0,17,0,17,0
resto-os-backend,com.resto.catalog.domain,StoreProduct,71,0,0,0,22,0,19,0,19,0
resto-os-backend,com.resto.kitchen.controller,KitchenController.UpdateKitchenStatusRequest,10,0,0,0,3,0,3,0,3,0
resto-os-backend,com.resto.kitchen.controller,KitchenController,46,0,0,0,19,0,3,0,3,0
